"perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool","perc_households_NG","perc_households_P","perc_households_HO","perc_households_ElecRes","perc_households_wood","perc_positiveNB_cool","perc_positivePrivate_cool","perc_positiveNB_nocool","perc_positivePrivate_nocool","NAME","FIPS","x","y"
0.004,0.002,0,0,1,1,0.881,0.869,0.922,0.881,0.785,0.383,1,1,1,1,0,1,0,1,0.604936155626018,0.15342645756563,0.0249950009998,0.165366926614677,0.0313365898248922,0.344258519724627,0.373360442197275,0.32015671151484,0.339604193447025,"Dodge County",55027,-88.69841135,43.26274426
0.143,0.012,0,0,1,1,0.907,0.883,1,0.966,0.883,0.867,1,1,1,1,0,1,0,1,0.604936155626018,0.15342645756563,0.0249950009998,0.165366926614677,0.0313365898248922,0.430294255434627,0.381534378838518,0.326595309509527,0.353849744336847,"Dodge County",55027,-88.74354513,43.49011
0.002,0,0,0,1,1,0.868,0.848,0.92,0.878,0.633,0.257,1,1,1,1,0,1,0,0.965,0.623227500596801,0.138386249701599,0.0317975650513249,0.157101933635713,0.021102888517546,0.325988398185725,0.344509333969921,0.29734905705419,0.302989735020291,"Fond du Lac County",55039,-88.4238115,43.67029745
0.136,0.012,0,0,1,1,0.898,0.887,1,0.955,0.885,0.78,1,1,1,1,0,1,0,1,0.623227500596801,0.138386249701599,0.0317975650513249,0.157101933635713,0.021102888517546,0.412044688469802,0.354436476486035,0.309513630938171,0.325755526378611,"Fond du Lac County",55039,-88.56843267,43.77032352
0.204,0.024,0,0,1,1,0.912,0.888,1,0.974,0.887,0.84,1,1,1,1,0,1,0,1,0.570489762036525,0.164672108467073,0.0141463752075263,0.171278361925844,0.0603209739900387,0.466476757055894,0.423741768123962,0.33400715965689,0.389711123408965,"Portage County",55097,-89.6086882,44.29977328
0.205,0.027,0,0,1,1,0.921,0.904,1,0.975,0.902,0.857,1,1,1,1,0,1,0,1,0.570489762036525,0.164672108467073,0.0141463752075263,0.171278361925844,0.0603209739900387,0.46704724681793,0.425467383785279,0.335701404261206,0.392586365522966,"Portage County",55097,-89.71626976,44.32852617
1,1,0.004,0,1,1,1,1,1,1,0.947,0.901,1,1,0.944,0.346,0,1,0,1,0.263249449147628,0.364026440913835,0.052765858749855,0.130465035370521,0.17708454134292,0.810506784181839,0.987591325524759,0.53820770033631,0.633793923228575,"Taylor County",55119,-90.34665391,45.13800629
0.191,0.014,0,0,1,1,0.88,0.879,1,0.946,0.852,0.614,1,1,1,1,0,1,0,1,0.479069341394156,0.338554547952734,0.00430521205459375,0.0934322616103325,0.0791426215993405,0.527794265823944,0.521909132545571,0.395028304479253,0.472807731061647,"Vilas County",55125,-89.59534088,46.00050498
0.116,0.017,0,0,1,1,0.889,0.881,0.997,0.94,0.835,0.507,1,1,1,1,0,1,0,1,0.479069341394156,0.338554547952734,0.00430521205459375,0.0934322616103325,0.0791426215993405,0.491851149583219,0.523320509297426,0.398002106805899,0.473024182467711,"Vilas County",55125,-89.80685877,46.17700351
0.004,0,0,0,1,1,0.854,0.778,0.921,0.892,0.365,0.135,1,1,1,1,0,1,0,0.603,0.479069341394156,0.338554547952734,0.00430521205459375,0.0934322616103325,0.0791426215993405,0.437868187230924,0.514969680315105,0.384129247961894,0.405131904369332,"Vilas County",55125,-89.22235895,46.07768036
0.784,0.31,0,0,1,1,0.895,0.886,1,1,0.848,0.578,1,1,1,1,0,1,0,0.996,0.347342053993877,0.375637814268485,0.0200389646534929,0.136469060209667,0.104184061601262,0.804462009462845,0.744005937471008,0.489657946006123,0.58463401057612,"Juneau County",55057,-90.26734114,43.73588552
0.945,0.467,0,0,1,1,0.98,0.935,1,1,0.877,0.877,1,1,1,1,0,1,0,1,0.713420110728313,0.0765714438918455,0.02147539445286,0.150837165033446,0.0167030845744467,0.923066008016408,0.598754279662721,0.244711100982613,0.257968470581927,"Outagamie County",55087,-88.34044889,44.29579753
