NAME,FIPS,x,y
Richland County,55103,-90.66062108,43.28436883
Ashland County,55003,-90.68019799,46.79412665
Waupaca County,55135,-88.75052618,44.61000126
Waupaca County,55135,-88.74610887,44.63044877
Waupaca County,55135,-89.16310223,44.45529472
Juneau County,55057,-90.28192483,43.66130121
Sheboygan County,55117,-87.94090316,43.6165341
Sheboygan County,55117,-87.77560197,43.78207436
Dane County,55025,-89.23718791,43.17939468
Adams County,55001,-89.63764032,44.22615905
Lafayette County,55065,-90.23758642,42.57331062
Pepin County,55091,-92.00226847,44.62808901
Wood County,55141,-89.97454616,44.48637322
Wood County,55141,-89.73470787,44.2913077
St. Croix County,55109,-92.53139645,44.9856039
Green Lake County,55047,-89.12897223,43.86964332
Grant County,55043,-90.69687473,43.13609052
La Crosse County,55063,-91.00290528,43.88352841
Dodge County,55027,-88.9230246,43.31191933
Dodge County,55027,-88.88562598,43.42072693
Barron County,55005,-92.12098623,45.21664329
Monroe County,55081,-90.83665676,44.12220979
Sauk County,55111,-89.75614135,43.50201289
Ozaukee County,55089,-87.95080032,43.38437657
Shawano County,55115,-88.76619729,44.84412621
Oconto County,55083,-88.14584606,44.87615551
Barron County,55005,-91.91001551,45.38923485
Manitowoc County,55071,-87.90957249,44.08111601
Manitowoc County,55071,-87.7839322,43.92650035
Manitowoc County,55071,-87.81618181,43.89591318
Washington County,55131,-88.13481005,43.36760518
Portage County,55097,-89.54625126,44.45783708
Portage County,55097,-89.35140207,44.46113025
Sauk County,55111,-90.10199679,43.59036191
Vernon County,55123,-90.32235061,43.7012542
Florence County,55037,-88.41648094,45.79504355
Florence County,55037,-88.19130148,45.778535
Grant County,55043,-90.44844655,42.97753503
Calumet County,55015,-88.30922156,44.2059266
Juneau County,55057,-89.79503376,43.64875537
Pepin County,55091,-91.73757359,44.6321814
Pepin County,55091,-91.73757359,44.6321814
Rock County,55105,-88.91469301,42.83252199
Rock County,55105,-89.02999003,42.67579947
Fond du Lac County,55039,-88.16477075,43.66839807
Kewaunee County,55061,-87.61690386,44.51553884
Polk County,55095,-92.46836221,45.70579021
Polk County,55095,-92.48019188,45.55380423
Crawford County,55023,-91.12002814,43.03937763
Clark County,55019,-90.40172589,44.60797529
Dane County,55025,-89.67432907,43.15524803
Dane County,55025,-89.78055324,43.10035691
Wood County,55141,-90.14031666,44.59134551
Adams County,55001,-89.62913062,44.20616319
