"NG_cool_NB","NG_cool_NB_capital","NG_cool_NB_MO","NG_cool_NB_emissions","NG_cool_private","NG_cool_CO2e","NG_nocool_NB","NG_nocool_NB_capital","NG_nocool_NB_MO","NG_nocool_NB_emissions","NG_nocool_private","NG_nocool_CO2e","price_change"
-435.643318459282,-624.190000000001,-5.57792161691395,194.12460315763,-629.767921616914,6018.131656873,-6493.84909995997,-6512.98,-5.57792161691395,24.708821656948,-6518.55792161691,765.595433012924,0.14
-396.129642197895,-624.190000000001,-85.0472461701156,313.107603972223,-709.237246170116,9559.55660412845,-6456.97570486874,-6512.98,-85.0472461701156,141.051541301373,-6598.02724617012,4307.02038026838,0.15
-373.915425130861,-624.190000000001,-58.2958612716084,308.57043614075,-682.485861271609,9557.58851866463,-6432.30078147438,-6512.98,-58.2958612716084,138.975079797226,-6571.27586127161,4305.05229480455,0.16
-343.789843083425,-624.190000000001,-31.5444763730993,311.944633289677,-655.7344763731,9553.64283285003,-6404.00130222511,-6512.98,-31.5444763730993,140.523174147988,-6544.5244763731,4301.10660898995,0.17
-315.126482753218,-624.190000000001,-4.79309147459207,313.856608721377,-628.983091474593,9570.10667135,-6376.10574052034,-6512.98,-4.79309147459207,141.667350954252,-6517.77309147459,4317.57044748993,0.18
-288.830722037732,-624.190000000001,21.9582934239152,313.400984538355,-602.231706576085,9557.62434398053,-6349.85667334242,-6512.98,21.9582934239152,141.16503323367,-6491.02170657609,4305.08812012045,0.19
-255.635914815168,-624.190000000001,-49.9430024576977,418.49708764253,-674.133002457698,13024.6343080586,-6313.16517061859,-6512.98,-49.9430024576977,249.757831839104,-6562.9230024577,7772.09808419854,0.2
-215.158196409877,-624.190000000001,-12.4197236193522,421.451527209474,-636.609723619353,13047.635913379,-6273.65224549353,-6512.98,-12.4197236193522,251.747478125821,-6525.39972361935,7795.0996895189,0.21
-180.870481198923,-624.190000000001,25.1035552189896,418.215963582089,-599.086444781011,13038.7809947936,-6238.12725094553,-6512.98,25.1035552189896,249.749193835483,-6487.87644478101,7786.2447709335,0.22
-138.841509061371,-624.190000000001,62.6268340573333,422.721656881299,-561.563165942667,13061.2998529291,-6197.81071314866,-6512.98,62.6268340573333,252.542452794004,-6450.35316594267,7808.76362906898,0.23
-100.233412909216,-624.190000000001,100.150112895677,423.80647419511,-524.039887104323,13034.3061467158,-6159.73093181177,-6512.98,100.150112895677,253.098955292559,-6412.82988710432,7781.76992285572,0.24
-62.4314538537619,-624.190000000001,69.5510703026684,492.20747584357,-554.638929697332,15274.3584522833,-6120.47830468292,-6512.98,69.5510703026684,322.950625014418,-6443.42892969733,10021.8222284232,0.25
-12.7075389817692,-624.190000000001,114.35235646153,497.1301045567,-509.837643538471,15262.9046191965,-6072.59156434157,-6512.98,114.35235646153,326.036079196904,-6398.62764353847,10010.3683953364,0.26
30.4313737503362,-624.190000000001,159.153642620393,495.467731129949,-465.036357379608,15257.4880539805,-6028.96770068711,-6512.98,159.153642620393,324.858656692505,-6353.82635737961,10004.9518301205,0.27
78.7113999455796,-624.190000000001,203.954928779254,498.946471166326,-420.235071220746,15253.957570795,-5981.93999802534,-6512.98,203.954928779254,327.085073195403,-6309.02507122075,10001.421346935,0.28
125.983971099042,-624.190000000001,248.756214938116,501.417756160927,-375.433785061885,15270.7644560121,-5935.30092627618,-6512.98,248.756214938116,328.922858785703,-6264.22378506188,10018.228232152,0.29
167.337277195009,-624.190000000001,293.557501096977,497.969776098033,-330.632498903024,15247.037013064,-5892.98543862706,-6512.98,293.557501096977,326.437060275963,-6219.42249890302,9994.50078920395,0.3
