NG_cool_NB,NG_cool_NB_capital,NG_cool_NB_MO,NG_cool_NB_emissions,NG_cool_private,NG_cool_CO2e,NG_nocool_NB,NG_nocool_NB_capital,NG_nocool_NB_MO,NG_nocool_NB_emissions,NG_nocool_private,NG_nocool_CO2e,price_change
5588.972509,-624.19,5442.829837,770.3326715,4818.639837,23579.74261,-471.3661963,-6512.98,5442.829837,598.7839667,-1070.150163,18327.20638,0.78
5688.777705,-624.19,5546.871541,766.0961637,4922.681541,23602.60812,-370.5138626,-6512.98,5546.871541,595.5945965,-966.1084591,18350.0719,0.79
5776.352192,-624.19,5650.913245,749.6289478,5026.723245,23607.67024,-279.1656897,-6512.98,5650.913245,582.9010656,-862.0667553,18355.13402,0.8
5894.329697,-624.19,5754.954948,763.5647484,5130.764948,23611.43423,-164.3527425,-6512.98,5754.954948,593.6723091,-758.0250516,18358.898,0.81
6010.458232,-624.19,5858.996652,775.6515793,5234.806652,23637.86936,-50.65866266,-6512.98,5858.996652,603.3246851,-653.9833478,18385.33314,0.82
6117.158328,-624.19,5963.038356,778.3099724,5338.848356,23624.78045,55.31721879,-6512.98,5963.038356,605.2588628,-549.941644,18372.24422,0.83
6226.003644,-624.19,6067.08006,783.1135841,5442.89006,23619.06955,162.967771,-6512.98,6067.08006,608.8677113,-445.8999402,18366.53333,0.84
6324.42546,-624.19,6171.121764,777.493696,5546.931764,23583.59542,262.5149658,-6512.98,6171.121764,604.3732023,-341.8582364,18331.05919,0.85
6408.684216,-624.19,6275.163467,757.7107489,5650.973467,23609.15268,351.3369442,-6512.98,6275.163467,589.1534768,-237.8165327,18356.61646,0.86
6529.02481,-624.19,6379.205171,774.0096389,5755.015171,23630.60143,468.2538308,-6512.98,6379.205171,602.0286596,-133.7748289,18378.06521,0.87
6625.85914,-624.19,6483.246875,766.8022655,5859.056875,23610.39456,566.5301917,-6512.98,6483.246875,596.2633168,-29.73312509,18357.85834,0.88
6719.622025,-624.19,6587.288579,756.5234463,5963.098579,23587.01035,662.3101169,-6512.98,6587.288579,588.0015382,74.30857869,18334.47413,0.89
6827.077562,-624.19,6691.330282,759.9372796,6067.140282,23627.66617,769.256966,-6512.98,6691.330282,590.9066835,178.3502825,18375.12995,0.9
6929.484218,-624.19,6795.371986,758.3022321,6171.181986,23527.54093,871.3576576,-6512.98,6795.371986,588.9656713,282.3919863,18275.00471,0.91
7042.029628,-624.19,6899.41369,766.8059384,6275.22369,23605.71683,982.4993991,-6512.98,6899.41369,596.0657091,386.43369,18353.18061,0.92
7140.992966,-624.19,7003.455394,761.7275719,6379.265394,23643.308,1083.04766,-6512.98,7003.455394,592.5722659,490.4753938,18390.77177,0.93
7257.104615,-624.19,7107.497098,773.7975173,6483.307098,23596.09027,1195.955719,-6512.98,7107.497098,601.4386213,594.5170976,18343.55404,0.94
7347.686227,-624.19,7211.538801,760.3374258,6587.348801,23644.70371,1290.011929,-6512.98,7211.538801,591.4531273,698.5588014,18392.16748,0.95
7442.649392,-624.19,7315.580505,751.2588871,6691.390505,23612.49194,1386.704581,-6512.98,7315.580505,584.1040762,802.6005052,18359.95572,0.96
7560.757415,-624.19,7419.622209,765.3252062,6795.432209,23584.17823,1501.573339,-6512.98,7419.622209,594.9311302,906.6422089,18331.642,0.97
7651.505681,-624.19,7523.663913,752.0317687,6899.473913,23580.26795,1595.217109,-6512.98,7523.663913,584.5331967,1010.683913,18327.73173,0.98
7784.096001,-624.19,7627.705617,780.5803841,7003.515617,23595.14883,1721.578636,-6512.98,7627.705617,606.8530192,1114.725617,18342.6126,0.99
