,NG_cool_NB,NG_cool_NB_capital,NG_cool_NB_MO,NG_cool_NB_emissions,NG_cool_private,NG_cool_CO2e,NG_nocool_NB,NG_nocool_NB_capital,NG_nocool_NB_MO,NG_nocool_NB_emissions,NG_nocool_private,NG_nocool_CO2e,HO_cool_NB,HO_cool_NB_capital,HO_cool_NB_MO,HO_cool_NB_emissions,HO_cool_private,HO_cool_CO2e,HO_nocool_NB,HO_nocool_NB_capital,HO_nocool_NB_MO,HO_nocool_NB_emissions,HO_nocool_private,HO_nocool_CO2e,P_cool_NB,P_cool_NB_capital,P_cool_NB_MO,P_cool_NB_emissions,P_cool_private,P_cool_CO2e,P_nocool_NB,P_nocool_NB_capital,P_nocool_NB_MO,P_nocool_NB_emissions,P_nocool_private,P_nocool_CO2e,ElecRes_cool_NB,ElecRes_cool_NB_capital,ElecRes_cool_NB_MO,ElecRes_cool_NB_emissions,ElecRes_cool_private,ElecRes_cool_CO2e,ElecRes_nocool_NB,ElecRes_nocool_NB_capital,ElecRes_nocool_NB_MO,ElecRes_nocool_NB_emissions,ElecRes_nocool_private,ElecRes_nocool_CO2e,wood_cool_NB,wood_cool_NB_capital,wood_cool_NB_MO,wood_cool_NB_emissions,wood_cool_private,wood_cool_CO2e,wood_nocool_NB,wood_nocool_NB_capital,wood_nocool_NB_MO,wood_nocool_NB_emissions,wood_nocool_private,wood_nocool_CO2e
105,-581.5360741,-618.9765655,-19.20941266,56.64990406,-638.1859781,1715.743324,-6657.365201,-6523.953099,-19.20941266,-114.2026895,-6543.162512,-3536.7929,10710.65631,-618.9765655,8909.379476,2420.2534,8290.40291,74088.3407,4634.827183,-6523.953099,8909.379476,2249.400806,2385.426377,68835.80448,14493.60224,-618.9765655,13484.64803,1627.930774,12865.67147,49935.93545,8417.773113,-6523.953099,13484.64803,1457.078181,6960.694932,44683.39923,33926.12177,-618.9765655,31312.20132,3232.897016,30693.22475,99322.38869,27850.29264,-6523.953099,31312.20132,3062.044422,24788.24822,94069.85246,14165.52952,-618.9765655,12492.61371,2291.892384,11873.63714,70158.24066,8089.700397,-6523.953099,12492.61371,2121.03979,5968.660607,64905.70443
110,-579.8587263,-622.3538064,-18.39497358,60.89005369,-640.74878,1837.574035,-6662.953694,-6533.084781,-18.39497358,-111.4739401,-6551.479754,-3414.962189,11198.53528,-622.3538064,9241.796858,2579.092228,8619.443052,78528.06109,5115.440312,-6533.084781,9241.796858,2406.728234,2708.712077,73275.52487,15263.29964,-622.3538064,14168.91032,1716.743126,13546.55651,52275.9958,9180.204668,-6533.084781,14168.91032,1544.379133,7635.825536,47023.45958,35613.89551,-622.3538064,32821.54412,3414.705196,32199.19031,104010.6655,29530.80054,-6533.084781,32821.54412,3242.341202,26288.45934,98758.1293,14852.01977,-622.3538064,13062.5979,2411.775676,12440.24409,73268.54142,8768.9248,-6533.084781,13062.5979,2239.411682,6529.513118,68016.0052
115,-570.6300851,-615.7070084,-19.98928616,65.06620948,-635.6962946,1973.178294,-6632.92224,-6506.554564,-19.98928616,-106.37839,-6526.54385,-3279.35793,11566.60881,-615.7070084,9497.897457,2684.418359,8882.190448,82070.89736,5504.316652,-6506.554564,9497.897457,2512.97376,2991.342893,76818.36114,15841.49332,-615.7070084,14666.36293,1790.837397,14050.65593,54793.64758,9779.201168,-6506.554564,14666.36293,1619.392797,8159.80837,49541.11136,37297.77115,-615.7070084,34357.31339,3556.16477,33741.60638,108902.9051,31235.47899,-6506.554564,34357.31339,3384.72017,27850.75882,103650.3689,15661.08004,-615.7070084,13742.66622,2534.120832,13126.95921,77411.25245,9598.787887,-6506.554564,13742.66622,2362.676233,7236.111654,72158.71623
120,-591.9272151,-634.8141941,-20.30672737,63.19370637,-655.1209215,1943.919,-6647.646323,-6521.26798,-20.30672737,-106.0716164,-6541.574707,-3308.617224,12218.80017,-634.8141941,10086.88864,2766.725722,9452.074445,86059.77105,6163.081059,-6521.26798,10086.88864,2597.4604,3565.620659,80807.23483,16575.08863,-634.8141941,15369.90473,1839.998097,14735.09053,57167.16394,10519.36952,-6521.26798,15369.90473,1670.732774,8848.636748,51914.62771,38792.73706,-634.8141941,35770.61733,3656.933925,35135.80313,113502.2881,32737.01795,-6521.26798,35770.61733,3487.668603,29249.34935,108249.7519,16206.25149,-634.8141941,14265.79297,2575.272708,13630.97878,80077.72534,10150.53238,-6521.26798,14265.79297,2406.007385,7744.524995,74825.18911
125,-588.9000674,-632.7298268,-21.0122073,64.84196665,-653.7420341,2039.684518,-6639.754652,-6516.368374,-21.0122073,-102.3740709,-6537.380581,-3212.851706,12426.13306,-632.7298268,10273.58627,2785.276613,9640.856445,87813.387,6375.278474,-6516.368374,10273.58627,2618.060576,3757.217898,82560.85077,17041.87129,-632.7298268,15788.08738,1886.51374,15155.35755,59277.84516,10991.01671,-6516.368374,15788.08738,1719.297702,9271.719007,54025.30894,40408.64836,-632.7298268,37278.56438,3762.813798,36645.83456,118190.8293,34357.79377,-6516.368374,37278.56438,3595.597761,30762.19601,112938.2931,16880.32278,-632.7298268,14858.72305,2654.329563,14225.99322,83407.34379,10829.4682,-6516.368374,14858.72305,2487.113525,8342.354675,78154.80757
130,-578.1285485,-625.155054,-22.53452085,69.56102634,-647.6895749,2112.31024,-6645.649807,-6520.731321,-22.53452085,-102.383965,-6543.265842,-3140.225984,12921.23713,-625.155054,10500.093,3046.299186,9874.937946,93114.00931,6853.715874,-6520.731321,10500.093,2874.354195,3979.361679,87861.47309,17792.49642,-625.155054,16391.67111,2025.980369,15766.51606,61885.32641,11724.97517,-6520.731321,16391.67111,1854.035377,9870.939789,56632.79019,42195.97364,-625.155054,38794.12264,4027.006057,38168.96758,122985.3763,36128.45238,-6520.731321,38794.12264,3855.061066,32273.39132,117732.8401,17710.5683,-625.155054,15482.9566,2852.766747,14857.80155,87020.5104,11643.04704,-6520.731321,15482.9566,2680.821756,8962.225284,81767.97417
135,-591.7853478,-637.943098,-24.75784639,70.91559656,-662.7009444,2168.530478,-6636.656109,-6512.80469,-24.75784639,-99.09357253,-6537.562537,-3084.005745,12866.70095,-637.943098,10370.7866,3133.857443,9732.843505,96703.35413,6821.830186,-6512.80469,10370.7866,2963.848274,3857.981912,91450.81791,18034.26411,-637.943098,16593.04349,2079.163719,15955.10039,64206.03727,11989.39335,-6512.80469,16593.04349,1909.15455,10080.2388,58953.50105,43768.15352,-637.943098,40272.84304,4133.253575,39634.89994,127680.8,37723.28275,-6512.80469,40272.84304,3963.244406,33760.03835,122428.2638,18334.14392,-637.943098,16052.47698,2919.610045,15414.53388,90117.882,12289.27316,-6512.80469,16052.47698,2749.600876,9539.672285,84865.34577
140,-583.1181487,-634.6421172,-24.28627386,75.81024237,-658.9283911,2336.258802,-6641.639034,-6524.683751,-24.28627386,-92.66900937,-6548.970025,-2916.277422,14593.59871,-634.6421172,11986.74294,3241.497891,11352.10082,100706.3158,8535.077825,-6524.683751,11986.74294,3073.01864,5462.059186,95453.77961,19714.18355,-634.6421172,18207.79989,2141.025775,17573.15778,66664.20598,13655.66267,-6524.683751,18207.79989,1972.546523,11683.11614,61411.66975,45379.29996,-634.6421172,41765.47524,4248.46683,41130.83313,132422.2129,39320.77907,-6524.683751,41765.47524,4079.987578,35240.79149,127169.6767,19021.53208,-634.6421172,16651.27127,3004.902935,16016.62915,93505.64648,12963.0112,-6524.683751,16651.27127,2836.423683,10126.58752,88253.11026
145,-589.6496203,-641.3649394,-23.70947838,75.42479743,-665.0744177,2304.788822,-6641.896519,-6522.248618,-23.70947838,-95.9384234,-6545.958096,-2947.747402,14640.35913,-641.3649394,11868.67682,3413.047247,11227.31188,104545.7824,8588.11223,-6522.248618,11868.67682,3241.684027,5346.428203,99293.24617,20009.28356,-641.3649394,18401.45407,2249.194428,17760.08913,68986.64235,13957.03666,-6522.248618,18401.45407,2077.831207,11879.20546,63734.10613,47034.00241,-641.3649394,43204.61098,4470.756364,42563.24604,137074.4101,40981.75551,-6522.248618,43204.61098,4299.393143,36682.36237,131821.8739,19721.7988,-641.3649394,17219.16064,3144.003102,16577.7957,96589.35672,13669.55191,-6522.248618,17219.16064,2972.639882,10696.91202,91336.8205
150,-578.2986405,-634.6365089,-25.96943646,82.30730488,-660.6059454,2517.608496,-6630.731515,-6516.647163,-25.96943646,-88.1149157,-6542.616599,-2734.927727,15318.40243,-634.6365089,12454.48057,3498.558367,11819.84406,107757.1237,9265.969551,-6516.647163,12454.48057,3328.136146,5937.833405,102504.5875,20953.43592,-634.6365089,19272.18044,2315.891994,18637.54393,71351.15998,14901.00305,-6516.647163,19272.18044,2145.469774,12755.53327,66098.62376,48724.48163,-634.6365089,44756.32823,4602.789906,44121.69172,141828.9339,42672.04875,-6516.647163,44756.32823,4432.367686,38239.68107,136576.3977,20417.28481,-634.6365089,17807.99804,3243.923277,17173.36153,99869.17955,14364.85193,-6516.647163,17807.99804,3073.501056,11291.35087,94616.64332
155,-576.7102389,-632.1566965,-28.03498857,83.4814462,-660.1916851,2574.152108,-6643.190404,-6528.212095,-28.03498857,-86.94332099,-6556.247083,-2678.384116,15463.99182,-632.1566965,12551.45227,3544.696244,11919.29557,109913.6872,9397.51165,-6528.212095,12551.45227,3374.271477,6023.240173,104661.151,21128.13002,-632.1566965,19366.39561,2393.891106,18734.23891,73872.90615,15061.64986,-6528.212095,19366.39561,2223.466339,12838.18352,68620.36993,50379.98941,-632.1566965,46252.84233,4759.303785,45620.68563,146734.4566,44313.50925,-6528.212095,46252.84233,4588.879018,39724.63023,141481.9203,21221.06124,-632.1566965,18486.69252,3366.525419,17854.53582,103982.457,15154.58108,-6528.212095,18486.69252,3196.100652,11958.48042,98729.92077
