"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53158,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53168,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53170,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53172,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53177,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53178,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53179,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53181,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53182,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53183,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53184,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53185,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53186,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53188,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53189,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53190,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53191,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53202,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53203,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53204,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53205,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53206,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53207,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53208,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53209,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53210,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53211,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53212,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53213,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53214,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53215,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53216,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53217,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53218,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53219,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53220,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53221,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53222,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53223,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53224,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53225,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53226,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53227,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53228,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53233,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53235,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53259,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53263,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53274,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53278,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53288,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53290,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53293,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53295,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53402,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53403,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53404,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53405,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53406,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53407,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53502,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53503,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53504,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53505,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53506,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53507,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53508,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53510,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53511,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53515,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53516,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53517,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53518,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53520,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53521,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53522,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53523,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53525,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53526,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
