"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53188,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53189,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53190,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53191,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53202,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53203,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53204,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53205,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53206,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53207,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53208,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53209,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53210,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53211,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53212,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53213,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53214,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53215,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53216,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53217,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53218,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53219,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53220,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53221,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53222,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53223,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53224,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53225,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53226,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53227,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53228,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53233,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53235,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53259,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53263,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53274,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53278,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53288,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53290,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53293,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53295,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53402,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53403,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53404,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53405,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53406,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53407,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
