"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53220,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53221,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53222,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53223,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53224,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53225,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53226,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53227,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53228,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53233,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53235,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53259,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53263,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53274,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53278,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53288,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53290,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53293,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53295,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53402,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53403,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53404,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53405,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53406,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53407,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53502,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53503,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53504,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53505,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53506,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53507,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53508,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53510,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53511,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53515,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53516,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53517,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53518,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53520,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
