"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53520,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53521,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53522,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53523,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53525,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53526,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53527,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53528,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53529,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53530,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53531,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53532,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53533,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53534,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53536,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53538,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53541,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53543,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53544,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53545,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53546,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
