"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","SEER","ton","price_region"
53217,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53218,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53219,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53220,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53221,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53222,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53223,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53224,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53225,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53226,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53227,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53228,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53233,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53235,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53259,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53263,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53274,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53278,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53288,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53290,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53293,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53295,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53402,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53403,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
