"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53154,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53156,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53158,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53158,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53168,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53170,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53172,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53177,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53178,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53179,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53181,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53182,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53183,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53184,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53185,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53186,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53188,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53189,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53190,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53191,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53202,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53203,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53204,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53205,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53206,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
